Name,Rating Average,Complexity Average
Combat Commander: Pacific,8.09,3.23
Scoville,7.17,2.78
Draftosaurus,7.19,1.22
Unlock!: Heroic Adventures,7.82,2.24
Tinners' Trail,7.26,2.83
Treasure Island,7.30,2.27
Red7,6.92,1.70
King of Tokyo: Dark Edition,7.89,1.63
Black Angel,7.42,3.82
Star Wars: The Card Game,7.19,2.96
Spyrium,7.08,2.90
Summoner Wars: Phoenix Elves vs Tundra Orcs,7.53,2.32
AuZtralia,7.40,2.93
Whitehall Mystery,7.59,2.17
Outlive,7.37,3.02
Virgin Queen,8.05,4.40
Union Pacific,7.21,2.55
The Estates,7.49,2.34
In the Hall of the Mountain King,7.89,2.78
Brew Crafters,7.44,3.57
Conflict of Heroes: Awakening the Bear! - Operation Barbarossa 1941 (Second Edition),7.98,3.26
Friedrich,7.55,3.15
Legendary: A Marvel Deck Building Game - Villains,7.60,2.71
Hyperborea,7.21,3.18
Carcassonne: The City,7.20,2.26
Bonfire,7.98,3.60
Dogs of War,7.52,2.66
Not Alone,7.02,1.96
Perudo,6.90,1.26
Ricochet Robots,7.00,2.42
New Frontiers,7.61,2.86
Summoner Wars: Guild Dwarves vs Cave Goblins,7.58,2.24
Fugitive,7.22,1.68
Ca$h 'n Guns (Second Edition),6.89,1.26
My City,7.87,2.12
Celestia,6.98,1.33
Thunderstone,6.94,2.50
878 Vikings: Invasions of England,7.55,2.64
San Marco,7.17,2.68
Bridge,7.46,3.86
Genoa,7.07,3.08
Smash Up: Science Fiction Double Feature,7.30,2.30
Santiago,7.12,2.49
The Palaces of Carrara,7.18,2.62
Maharaja: The Game of Palace Building in India,7.13,3.17
Homesteaders,7.24,3.04
Last Night on Earth: The Zombie Game,6.94,2.29
Container,7.15,3.25
Morels,7.00,1.74
Akrotiri,7.25,2.66
Age of Industry,7.37,3.36
Rhino Hero: Super Battle,7.28,1.12
Tragedy Looper,7.22,3.51
Nova Luna,7.45,1.90
Signorie,7.43,3.55
Heroscape Master Set: Swarm of the Marro,7.62,2.25
Ascension: Storm of Souls,7.31,2.34
Roll Through the Ages: The Bronze Age,6.87,1.78
Louis XIV,7.07,3.01
Core Worlds,7.18,2.89
"Heroes of Land, Air & Sea",7.71,3.25
CO₂: Second Chance,7.66,4.04
Diamant,6.82,1.11
Forbidden Island,6.79,1.74
Kanban EV,8.82,4.38
Hawaii,7.16,2.90
The Castles of Burgundy: The Card Game,7.04,2.54
Web of Power,7.30,2.45
Rhino Hero,6.95,1.03
Pictomania,7.28,1.53
Thunder Alley,7.32,2.39
Tumblin-Dice,7.18,1.05
Kitchen Rush,7.39,2.24
Unfair,7.35,2.70
Gentes,7.47,3.17
Catacombs (Third Edition),7.57,2.24
Adrenaline,7.06,2.34
Dungeons & Dragons: Wrath of Ashardalon Board Game,7.14,2.62
Tiny Epic Quest,7.06,2.66
Legacy: The Testament of Duke de Crecy,7.17,2.71
Can't Stop,6.85,1.16
Pandemic: Rising Tide,7.62,2.44
Britannia,7.20,3.17
The Others,7.39,3.04
Lanterns: The Harvest Festival,6.92,1.57
The City of Kings,7.75,3.16
Shards of Infinity,7.52,2
Dale of Merchants,7.22,2.09
Tammany Hall,7.26,2.78
Flick 'em Up!,6.95,1.33
Wasteland Express Delivery Service,7.43,2.91
Dream Factory,7.05,2.11
Attika,7.00,2.37
Railroad Ink: Blazing Red Edition,7.19,1.44
Cloudspire,8.22,4.18
Ticket to Ride: Rails & Sails,7.41,2.56
5-Minute Dungeon,7.05,1.12
Palm Island,7.26,1.76
Fort,7.40,2.41
Empire of the Sun,8.17,4.29
Polis: Fight for the Hegemony,7.62,3.69
Wizard,6.93,1.73
Zooloretto,6.83,1.86
Concept,6.82,1.40
Ascension: Return of the Fallen,7.30,2.18
Crystal Palace,7.65,3.74
Mahjong,7.02,2.57
Qwixx,6.88,1.12
Discoveries: The Journals of Lewis and Clark,7.08,2.35
Trismegistus: The Ultimate Formula,7.68,4.04
Marvel Dice Masters: Uncanny X-Men,7.20,2.37
Snow Tails,6.97,2.05
Dungeons & Dragons: Castle Ravenloft Board Game,6.98,2.51
Fabled Fruit,7.03,1.59
La Città,7.04,3.28
Legendary Encounters: A Predator Deck Building Game,7.46,2.70
Tang Garden,7.63,2.59
The Bloody Inn,6.98,2.39
Antike,7.08,3.00
Crown of Emara,7.47,3.12
DC Comics Deck-Building Game,7.05,2.00
Star Wars: The Queen's Gambit,7.55,2.49
The Lost Expedition,7.07,1.86
Meeple Circus,7.12,1.44
Zombicide Season 3: Rue Morgue,7.55,2.48
